_id,Date,Gender,Race,Age at Booking,Current Age
285,2017-07-01,M,B,26,27
286,2017-07-01,M,W,27,28
287,2017-07-01,M,W,31,31
288,2017-07-01,M,W,55,55
289,2017-07-01,M,W,24,25
290,2017-07-01,M,W,60,61
291,2017-07-01,M,W,24,25
292,2017-07-01,M,W,60,61
293,2017-07-01,M,W,34,35
294,2017-07-01,M,W,26,26
295,2017-07-01,M,B,23,23
296,2017-07-01,M,W,46,47
297,2017-07-01,M,B,23,23
298,2017-07-01,M,B,35,35
299,2017-07-01,M,W,24,25
300,2017-07-01,M,B,35,35
301,2017-07-01,M,W,46,47
302,2017-07-01,M,B,27,27
303,2017-07-01,M,B,59,60
304,2017-07-01,M,B,32,33
305,2017-07-01,M,B,36,36
306,2017-07-01,M,W,33,34
307,2017-07-01,M,B,30,30
308,2017-07-01,M,B,60,60
309,2017-07-01,M,B,26,26
310,2017-07-01,M,B,42,42
311,2017-07-01,M,W,51,51
312,2017-07-01,M,B,22,22
313,2017-07-01,M,B,27,27
314,2017-07-01,M,W,42,43
315,2017-07-01,M,B,22,22
316,2017-07-01,M,W,48,49
317,2017-07-01,M,B,28,28
318,2017-07-01,M,W,49,49
319,2017-07-01,M,B,41,41
320,2017-07-01,M,W,29,29
321,2017-07-01,M,W,24,24
322,2017-07-01,M,B,55,56
323,2017-07-01,M,B,49,49
324,2017-07-01,M,W,36,37
325,2017-07-01,M,W,29,29
326,2017-07-01,M,B,54,54
327,2017-07-01,M,W,52,52
328,2017-07-01,M,W,51,51
329,2017-07-01,M,W,28,29
330,2017-07-01,M,W,41,41
331,2017-07-01,M,W,30,30
332,2017-07-01,M,W,19,19
333,2017-07-01,M,W,28,28
334,2017-07-01,M,B,25,25
335,2017-07-01,M,B,21,22
336,2017-07-01,M,B,37,37
337,2017-07-01,M,B,58,58
338,2017-07-01,M,H,45,45
339,2017-07-01,M,W,43,43
340,2017-07-01,M,W,28,28
341,2017-07-01,M,W,27,27
342,2017-07-01,M,W,28,28
343,2017-07-01,M,B,21,22
344,2017-07-01,M,B,24,24
345,2017-07-01,M,W,38,38
346,2017-07-01,M,B,26,26
347,2017-07-01,M,W,51,51
348,2017-07-01,M,B,58,58
349,2017-07-01,M,B,25,25
350,2017-07-01,M,B,18,18
351,2017-07-01,M,W,26,26
352,2017-07-01,M,W,47,47
353,2017-07-01,M,B,30,30
354,2017-07-01,M,x,29,29
355,2017-07-01,M,B,19,19
356,2017-07-01,M,B,28,28
357,2017-07-01,M,B,53,53
358,2017-07-01,M,W,34,34
359,2017-07-01,M,W,52,52
360,2017-07-01,M,W,25,25
361,2017-07-01,M,B,52,54
362,2017-07-01,M,W,51,53
363,2017-07-01,M,B,32,33
364,2017-07-01,M,B,24,25
365,2017-07-01,M,W,47,48
366,2017-07-01,M,B,45,45
367,2017-07-01,M,W,30,31
368,2017-07-01,M,W,20,21
369,2017-07-01,M,B,28,29
370,2017-07-01,M,W,45,46
371,2017-07-01,M,W,48,49
372,2017-07-01,M,x,47,48
373,2017-07-01,M,W,60,61
374,2017-07-01,M,W,25,26
375,2017-07-01,M,B,22,23
376,2017-07-01,M,B,28,28
377,2017-07-01,M,W,33,33
378,2017-07-01,M,W,42,42
379,2017-07-01,M,W,58,58
380,2017-07-01,M,B,37,37
381,2017-07-01,M,W,37,38
382,2017-07-01,M,W,53,54
383,2017-07-01,M,W,24,24
384,2017-07-01,M,W,62,63
385,2017-07-01,M,B,46,46
386,2017-07-01,M,B,30,30
387,2017-07-01,M,W,22,22
388,2017-07-01,M,B,31,31
389,2017-07-01,M,B,23,23
390,2017-07-01,M,B,23,23
391,2017-07-01,M,W,23,23
392,2017-07-01,M,B,43,43
393,2017-07-01,M,W,30,30
394,2017-07-01,M,B,19,19
395,2017-07-01,M,B,26,26
